8061598,5530235,5629980,5915019,,,,,
8078396,6895126,,,,,,,
8079413,4437516,6708768,5224540,7350582,4595052,,,
8081536,6070217,,,,,,,
8083997,3106458,3958580,4221761,4399942,558083,5846297,6103275,
8085966,7388960,8472659,7043044,7623669,,,,
8095413,5761674,,,,,,,
8106748,7219861,6751529,7145551,,,,,
8112914,6422805,D565062,,,,,,
8117168,8239646,6795966,7093086,,,,,
8117282,6408128,6317795,,,,,,
8118221,5530235,5629980,5915019,,,,,
7389181,5633946,,,,,,,
7423248,4645975,,,,,,,
7430355,4703572,,,,,,,
7433483,3687220,,,,,,,
7456872,7456872,6433818,6750902,7502133,7173651,7266544,7450163,
7781046,2161440,5822943,,,,,,
7806360,3102702,4572458,5624082,,,,,
7817502,5870710,,,,,,,
7921186,5367667,5827180,5623656,,,,,
7921356,5859636,6085201,,,,,,
7929800,6597818,,,,,,,
7930068,6712287,,,,,,,
7930237,5960411,,,,,,,
7934041,6219771,6073209,,,,,,
7940652,7804767,,,,,,,
7941174,7689239,7321780,,,,,,
8297502,6721743,,,,,,,
8297662,5433247,,,,,,,
8298123,4828257,6042519,5462504,5702323,5280625,5355365,,
8300285,6958830,5457544,,,,,,
8304588,4349628,,,,,,,
8310993,7260073,8572250,,,,,,
8313353,4795360,6558194,,,,,,
8317070,4941623,5697543,4304236,3494533,,,,
8324283,6004565,,,,,,,
8340260,7505406,7333798,6831556,6665380,5861810,,,
8346894,5220501,,,,,,,
8490875,5835732,5221838,5590038,5276311,,,,
8501639,5912196,3934066,,,,,,
8504697,6496867,,,,,,,
8528778,4043475,5911937,5788064,,,,,
8592025,2161440,5822943,,,,,,
8615968,2161440,5822943,,,,,,
8631935,3978983,4226328,6840379,4160505,,,,
8640179,6970886,5874686,6098106,,,,,
8646935,7798338,7121675,,,,,,
7136995,6735693,7278016,,,,,,
7145461,4110741,5678562,,,,,,
7147662,5108418,5562728,6447530,,,,,
7153307,3893445,5108404,4576152,,,,,
7837736,5755801,4340978,,,,,,
7840420,5331549,5471382,5827180,,,,,
7848353,7397859,6987754,,,,,,
7853243,7035386,6064963,,,,,,
7859565,5289321,,,,,,,
7860222,6064963,6668045,7191133,6141406,,,,
7864956,5270922,4439784,,,,,,
8360517,6884965,6626488,7862113,,,,,
8361156,5860973,,,,,,,
8378160,4359533,,,,,,,
8379801,6567503,7881441,7428702,,,,,
8380244,6243581,,,,,,,
8381573,7934577,,,,,,,
8383228,2161440,5822943,,,,,,
8386114,6424273,6313454,7605856,,,,,
8396079,7397859,6175550,6987754,5950124,5321721,,,
8401682,5969283,,,,,,,
8424780,5803360,3432104,4321922,5094543,,,,
8434282,6298624,3241662,,,,,,
8464767,7624938,,,,,,,
8468038,5950169,,,,,,,
8488173,5513126,5818603,,,,,,
8532867,4939652,,,,,,,
8538321,4843568,5577981,,,,,,
8539275,4114366,,,,,,,
8540152,6721743,,,,,,,
8546627,4861930,4359533,,,,,,
8548944,7334095,,,,,,,
8567596,7389869,,,,,,,
8590838,3738497,,,,,,,
8676491,6553130,5920367,,,,,,
8690057,8493182,7667575,,,,,,
8777699,6416878,,,,,,,
8863979,8459510,,,,,,,
8228640,2931412,3838928,3700271,4981390,,,,
8231804,4992605,,,,,,,
8251997,4545374,5192327,4917704,5015247,5569290,,,
8261752,5088506,,,,,,,
8275359,5742509,7764185,,,,,,
8278492,5705722,5298639,,,,,,
8283505,4349628,,,,,,,
8286561,5948685,6872441,,,,,,
8150808,8775663,7334095,,,,,,
8156096,6271840,,,,,,,
8190694,7996005,,,,,,,
8192356,5313962,5171279,6139493,5772661,4595013,5782044,,
8193402,4359533,,,,,,,
8195415,7888017,,,,,,,
8205237,7444353,5874686,6188010,,,,,
8214097,5865263,4707984,5343970,5959420,,,,
8227969,7502558,7348723,7368655,,,,,